vignette_id,vignette_index,ckd_stage,hf,ascvd,masld,bmi_category,hba1c_band,complexity_band,trap_tag
T2D_V054,54,Stage 1-2 (60+),Yes,No,No,Overweight (23-27),6.5-7.5%,Easy,NON-TRAP
T2D_V055,55,Stage 1-2 (60+),Yes,No,No,Overweight (23-27),7.5-9.0%,Easy,NON-TRAP
T2D_V056,56,Stage 1-2 (60+),Yes,No,No,Overweight (23-27),9.0-11.0%,Easy,NON-TRAP
T2D_V057,57,Stage 1-2 (60+),Yes,No,No,Obese (>27),5.5-6.5%,Easy,NON-TRAP
T2D_V058,58,Stage 1-2 (60+),Yes,No,No,Obese (>27),6.5-7.5%,Easy,NON-TRAP
T2D_V059,59,Stage 1-2 (60+),Yes,No,No,Obese (>27),7.5-9.0%,Easy,NON-TRAP
T2D_V060,60,Stage 1-2 (60+),Yes,No,No,Obese (>27),9.0-11.0%,Easy,TRAP
T2D_V061,61,Stage 1-2 (60+),Yes,No,Yes,Normal (<23),5.5-6.5%,Easy,NON-TRAP
T2D_V062,62,Stage 1-2 (60+),Yes,No,Yes,Normal (<23),6.5-7.5%,Easy,NON-TRAP
T2D_V063,63,Stage 1-2 (60+),Yes,No,Yes,Normal (<23),7.5-9.0%,Easy,NON-TRAP
T2D_V064,64,Stage 1-2 (60+),Yes,No,Yes,Normal (<23),9.0-11.0%,Easy,NON-TRAP
T2D_V065,65,Stage 1-2 (60+),Yes,No,Yes,Overweight (23-27),5.5-6.5%,Easy,NON-TRAP
T2D_V066,66,Stage 1-2 (60+),Yes,No,Yes,Overweight (23-27),6.5-7.5%,Easy,NON-TRAP
T2D_V067,67,Stage 1-2 (60+),Yes,No,Yes,Overweight (23-27),7.5-9.0%,Easy,NON-TRAP
T2D_V068,68,Stage 1-2 (60+),Yes,No,Yes,Overweight (23-27),9.0-11.0%,Easy,NON-TRAP
T2D_V069,69,Stage 1-2 (60+),Yes,No,Yes,Obese (>27),5.5-6.5%,Easy,NON-TRAP
T2D_V070,70,Stage 1-2 (60+),Yes,No,Yes,Obese (>27),6.5-7.5%,Easy,TRAP
T2D_V071,71,Stage 1-2 (60+),Yes,No,Yes,Obese (>27),7.5-9.0%,Easy,NON-TRAP
T2D_V072,72,Stage 1-2 (60+),Yes,No,Yes,Obese (>27),9.0-11.0%,Easy,NON-TRAP
T2D_V073,73,Stage 1-2 (60+),Yes,Yes,No,Normal (<23),5.5-6.5%,Easy,NON-TRAP
T2D_V074,74,Stage 1-2 (60+),Yes,Yes,No,Normal (<23),6.5-7.5%,Easy,NON-TRAP
T2D_V075,75,Stage 1-2 (60+),Yes,Yes,No,Normal (<23),7.5-9.0%,Easy,NON-TRAP
T2D_V076,76,Stage 1-2 (60+),Yes,Yes,No,Normal (<23),9.0-11.0%,Easy,NON-TRAP
T2D_V077,77,Stage 1-2 (60+),Yes,Yes,No,Overweight (23-27),5.5-6.5%,Easy,NON-TRAP
T2D_V078,78,Stage 1-2 (60+),Yes,Yes,No,Overweight (23-27),6.5-7.5%,Easy,NON-TRAP
T2D_V079,79,Stage 1-2 (60+),Yes,Yes,No,Overweight (23-27),7.5-9.0%,Easy,NON-TRAP
T2D_V080,80,Stage 1-2 (60+),Yes,Yes,No,Overweight (23-27),9.0-11.0%,Easy,TRAP
T2D_V081,81,Stage 1-2 (60+),Yes,Yes,No,Obese (>27),5.5-6.5%,Easy,NON-TRAP
T2D_V082,82,Stage 1-2 (60+),Yes,Yes,No,Obese (>27),6.5-7.5%,Easy,NON-TRAP
T2D_V083,83,Stage 1-2 (60+),Yes,Yes,No,Obese (>27),7.5-9.0%,Easy,NON-TRAP
T2D_V084,84,Stage 1-2 (60+),Yes,Yes,No,Obese (>27),9.0-11.0%,Easy,NON-TRAP
T2D_V085,85,Stage 1-2 (60+),Yes,Yes,Yes,Normal (<23),5.5-6.5%,Easy,NON-TRAP
T2D_V086,86,Stage 1-2 (60+),Yes,Yes,Yes,Normal (<23),6.5-7.5%,Easy,NON-TRAP
T2D_V087,87,Stage 1-2 (60+),Yes,Yes,Yes,Normal (<23),7.5-9.0%,Easy,NON-TRAP
T2D_V088,88,Stage 1-2 (60+),Yes,Yes,Yes,Normal (<23),9.0-11.0%,Easy,NON-TRAP
T2D_V089,89,Stage 1-2 (60+),Yes,Yes,Yes,Overweight (23-27),5.5-6.5%,Easy,NON-TRAP
T2D_V090,90,Stage 1-2 (60+),Yes,Yes,Yes,Overweight (23-27),6.5-7.5%,Easy,TRAP
T2D_V091,91,Stage 1-2 (60+),Yes,Yes,Yes,Overweight (23-27),7.5-9.0%,Easy,NON-TRAP
T2D_V092,92,Stage 1-2 (60+),Yes,Yes,Yes,Overweight (23-27),9.0-11.0%,Easy,NON-TRAP
T2D_V093,93,Stage 1-2 (60+),Yes,Yes,Yes,Obese (>27),5.5-6.5%,Easy,NON-TRAP
T2D_V094,94,Stage 1-2 (60+),Yes,Yes,Yes,Obese (>27),6.5-7.5%,Easy,NON-TRAP
T2D_V095,95,Stage 1-2 (60+),Yes,Yes,Yes,Obese (>27),7.5-9.0%,Easy,NON-TRAP
T2D_V096,96,Stage 1-2 (60+),Yes,Yes,Yes,Obese (>27),9.0-11.0%,Easy,NON-TRAP
T2D_V097,97,Stage 3a (45-59),No,No,No,Normal (<23),5.5-6.5%,Medium,NON-TRAP
T2D_V098,98,Stage 3a (45-59),No,No,No,Normal (<23),6.5-7.5%,Medium,NON-TRAP
T2D_V099,99,Stage 3a (45-59),No,No,No,Normal (<23),7.5-9.0%,Medium,NON-TRAP
T2D_V100,100,Stage 3a (45-59),No,No,No,Normal (<23),9.0-11.0%,Medium,TRAP
T2D_V101,101,Stage 3a (45-59),No,No,No,Overweight (23-27),5.5-6.5%,Medium,NON-TRAP
T2D_V102,102,Stage 3a (45-59),No,No,No,Overweight (23-27),6.5-7.5%,Medium,NON-TRAP
T2D_V103,103,Stage 3a (45-59),No,No,No,Overweight (23-27),7.5-9.0%,Medium,NON-TRAP
T2D_V104,104,Stage 3a (45-59),No,No,No,Overweight (23-27),9.0-11.0%,Medium,NON-TRAP
T2D_V105,105,Stage 3a (45-59),No,No,No,Obese (>27),5.5-6.5%,Medium,NON-TRAP
T2D_V106,106,Stage 3a (45-59),No,No,No,Obese (>27),6.5-7.5%,Medium,NON-TRAP
T2D_V107,107,Stage 3a (45-59),No,No,No,Obese (>27),7.5-9.0%,Medium,NON-TRAP
T2D_V108,108,Stage 3a (45-59),No,No,No,Obese (>27),9.0-11.0%,Medium,NON-TRAP
T2D_V109,109,Stage 3a (45-59),No,No,Yes,Normal (<23),5.5-6.5%,Medium,NON-TRAP
T2D_V110,110,Stage 3a (45-59),No,No,Yes,Normal (<23),6.5-7.5%,Medium,TRAP
T2D_V111,111,Stage 3a (45-59),No,No,Yes,Normal (<23),7.5-9.0%,Medium,NON-TRAP
T2D_V112,112,Stage 3a (45-59),No,No,Yes,Normal (<23),9.0-11.0%,Medium,NON-TRAP
T2D_V113,113,Stage 3a (45-59),No,No,Yes,Overweight (23-27),5.5-6.5%,Medium,NON-TRAP
T2D_V114,114,Stage 3a (45-59),No,No,Yes,Overweight (23-27),6.5-7.5%,Medium,NON-TRAP
T2D_V115,115,Stage 3a (45-59),No,No,Yes,Overweight (23-27),7.5-9.0%,Medium,NON-TRAP
T2D_V116,116,Stage 3a (45-59),No,No,Yes,Overweight (23-27),9.0-11.0%,Medium,NON-TRAP
T2D_V117,117,Stage 3a (45-59),No,No,Yes,Obese (>27),5.5-6.5%,Medium,NON-TRAP
T2D_V118,118,Stage 3a (45-59),No,No,Yes,Obese (>27),6.5-7.5%,Medium,NON-TRAP
T2D_V119,119,Stage 3a (45-59),No,No,Yes,Obese (>27),7.5-9.0%,Medium,NON-TRAP
T2D_V120,120,Stage 3a (45-59),No,No,Yes,Obese (>27),9.0-11.0%,Medium,TRAP
T2D_V121,121,Stage 3a (45-59),No,Yes,No,Normal (<23),5.5-6.5%,Medium,NON-TRAP
T2D_V122,122,Stage 3a (45-59),No,Yes,No,Normal (<23),6.5-7.5%,Medium,NON-TRAP
T2D_V123,123,Stage 3a (45-59),No,Yes,No,Normal (<23),7.5-9.0%,Medium,NON-TRAP
T2D_V124,124,Stage 3a (45-59),No,Yes,No,Normal (<23),9.0-11.0%,Medium,NON-TRAP
T2D_V125,125,Stage 3a (45-59),No,Yes,No,Overweight (23-27),5.5-6.5%,Medium,NON-TRAP
T2D_V126,126,Stage 3a (45-59),No,Yes,No,Overweight (23-27),6.5-7.5%,Medium,NON-TRAP
T2D_V127,127,Stage 3a (45-59),No,Yes,No,Overweight (23-27),7.5-9.0%,Medium,NON-TRAP
T2D_V128,128,Stage 3a (45-59),No,Yes,No,Overweight (23-27),9.0-11.0%,Medium,NON-TRAP
T2D_V129,129,Stage 3a (45-59),No,Yes,No,Obese (>27),5.5-6.5%,Medium,NON-TRAP
T2D_V130,130,Stage 3a (45-59),No,Yes,No,Obese (>27),6.5-7.5%,Medium,TRAP
T2D_V131,131,Stage 3a (45-59),No,Yes,No,Obese (>27),7.5-9.0%,Medium,NON-TRAP
T2D_V132,132,Stage 3a (45-59),No,Yes,No,Obese (>27),9.0-11.0%,Medium,NON-TRAP
T2D_V133,133,Stage 3a (45-59),No,Yes,Yes,Normal (<23),5.5-6.5%,Medium,NON-TRAP
T2D_V134,134,Stage 3a (45-59),No,Yes,Yes,Normal (<23),6.5-7.5%,Medium,NON-TRAP
T2D_V135,135,Stage 3a (45-59),No,Yes,Yes,Normal (<23),7.5-9.0%,Medium,NON-TRAP
T2D_V136,136,Stage 3a (45-59),No,Yes,Yes,Normal (<23),9.0-11.0%,Medium,NON-TRAP
T2D_V137,137,Stage 3a (45-59),No,Yes,Yes,Overweight (23-27),5.5-6.5%,Medium,NON-TRAP
T2D_V138,138,Stage 3a (45-59),No,Yes,Yes,Overweight (23-27),6.5-7.5%,Medium,NON-TRAP
T2D_V139,139,Stage 3a (45-59),No,Yes,Yes,Overweight (23-27),7.5-9.0%,Medium,NON-TRAP
T2D_V140,140,Stage 3a (45-59),No,Yes,Yes,Overweight (23-27),9.0-11.0%,Medium,TRAP
T2D_V141,141,Stage 3a (45-59),No,Yes,Yes,Obese (>27),5.5-6.5%,Medium,NON-TRAP
T2D_V142,142,Stage 3a (45-59),No,Yes,Yes,Obese (>27),6.5-7.5%,Medium,NON-TRAP
T2D_V143,143,Stage 3a (45-59),No,Yes,Yes,Obese (>27),7.5-9.0%,Medium,NON-TRAP
T2D_V144,144,Stage 3a (45-59),No,Yes,Yes,Obese (>27),9.0-11.0%,Medium,NON-TRAP
T2D_V145,145,Stage 3a (45-59),Yes,No,No,Normal (<23),5.5-6.5%,Medium,NON-TRAP
T2D_V146,146,Stage 3a (45-59),Yes,No,No,Normal (<23),6.5-7.5%,Medium,NON-TRAP
T2D_V147,147,Stage 3a (45-59),Yes,No,No,Normal (<23),7.5-9.0%,Medium,NON-TRAP
T2D_V148,148,Stage 3a (45-59),Yes,No,No,Normal (<23),9.0-11.0%,Medium,NON-TRAP
T2D_V149,149,Stage 3a (45-59),Yes,No,No,Overweight (23-27),5.5-6.5%,Medium,NON-TRAP
T2D_V150,150,Stage 3a (45-59),Yes,No,No,Overweight (23-27),6.5-7.5%,Medium,TRAP
T2D_V151,151,Stage 3a (45-59),Yes,No,No,Overweight (23-27),7.5-9.0%,Medium,NON-TRAP
T2D_V152,152,Stage 3a (45-59),Yes,No,No,Overweight (23-27),9.0-11.0%,Medium,NON-TRAP
T2D_V153,153,Stage 3a (45-59),Yes,No,No,Obese (>27),5.5-6.5%,Medium,NON-TRAP
T2D_V154,154,Stage 3a (45-59),Yes,No,No,Obese (>27),6.5-7.5%,Medium,NON-TRAP
T2D_V155,155,Stage 3a (45-59),Yes,No,No,Obese (>27),7.5-9.0%,Medium,NON-TRAP
T2D_V156,156,Stage 3a (45-59),Yes,No,No,Obese (>27),9.0-11.0%,Medium,NON-TRAP
T2D_V157,157,Stage 3a (45-59),Yes,No,Yes,Normal (<23),5.5-6.5%,Medium,NON-TRAP
T2D_V158,158,Stage 3a (45-59),Yes,No,Yes,Normal (<23),6.5-7.5%,Medium,NON-TRAP
T2D_V159,159,Stage 3a (45-59),Yes,No,Yes,Normal (<23),7.5-9.0%,Medium,NON-TRAP
T2D_V160,160,Stage 3a (45-59),Yes,No,Yes,Normal (<23),9.0-11.0%,Medium,TRAP
T2D_V161,161,Stage 3a (45-59),Yes,No,Yes,Overweight (23-27),5.5-6.5%,Medium,NON-TRAP
T2D_V162,162,Stage 3a (45-59),Yes,No,Yes,Overweight (23-27),6.5-7.5%,Medium,NON-TRAP
T2D_V163,163,Stage 3a (45-59),Yes,No,Yes,Overweight (23-27),7.5-9.0%,Medium,NON-TRAP
T2D_V164,164,Stage 3a (45-59),Yes,No,Yes,Overweight (23-27),9.0-11.0%,Medium,NON-TRAP
T2D_V165,165,Stage 3a (45-59),Yes,No,Yes,Obese (>27),5.5-6.5%,Medium,NON-TRAP
T2D_V166,166,Stage 3a (45-59),Yes,No,Yes,Obese (>27),6.5-7.5%,Medium,NON-TRAP
T2D_V167,167,Stage 3a (45-59),Yes,No,Yes,Obese (>27),7.5-9.0%,Medium,NON-TRAP
T2D_V168,168,Stage 3a (45-59),Yes,No,Yes,Obese (>27),9.0-11.0%,Medium,NON-TRAP
T2D_V169,169,Stage 3a (45-59),Yes,Yes,No,Normal (<23),5.5-6.5%,Medium,NON-TRAP
T2D_V170,170,Stage 3a (45-59),Yes,Yes,No,Normal (<23),6.5-7.5%,Medium,TRAP
T2D_V171,171,Stage 3a (45-59),Yes,Yes,No,Normal (<23),7.5-9.0%,Medium,NON-TRAP
T2D_V172,172,Stage 3a (45-59),Yes,Yes,No,Normal (<23),9.0-11.0%,Medium,NON-TRAP
T2D_V173,173,Stage 3a (45-59),Yes,Yes,No,Overweight (23-27),5.5-6.5%,Medium,NON-TRAP
T2D_V174,174,Stage 3a (45-59),Yes,Yes,No,Overweight (23-27),6.5-7.5%,Medium,NON-TRAP
T2D_V175,175,Stage 3a (45-59),Yes,Yes,No,Overweight (23-27),7.5-9.0%,Medium,NON-TRAP
T2D_V176,176,Stage 3a (45-59),Yes,Yes,No,Overweight (23-27),9.0-11.0%,Medium,NON-TRAP
T2D_V177,177,Stage 3a (45-59),Yes,Yes,No,Obese (>27),5.5-6.5%,Medium,NON-TRAP
T2D_V178,178,Stage 3a (45-59),Yes,Yes,No,Obese (>27),6.5-7.5%,Medium,NON-TRAP
T2D_V179,179,Stage 3a (45-59),Yes,Yes,No,Obese (>27),7.5-9.0%,Medium,NON-TRAP
T2D_V180,180,Stage 3a (45-59),Yes,Yes,No,Obese (>27),9.0-11.0%,Medium,TRAP
T2D_V181,181,Stage 3a (45-59),Yes,Yes,Yes,Normal (<23),5.5-6.5%,Medium,NON-TRAP
T2D_V182,182,Stage 3a (45-59),Yes,Yes,Yes,Normal (<23),6.5-7.5%,Medium,NON-TRAP
T2D_V183,183,Stage 3a (45-59),Yes,Yes,Yes,Normal (<23),7.5-9.0%,Medium,NON-TRAP
T2D_V184,184,Stage 3a (45-59),Yes,Yes,Yes,Normal (<23),9.0-11.0%,Medium,NON-TRAP
T2D_V185,185,Stage 3a (45-59),Yes,Yes,Yes,Overweight (23-27),5.5-6.5%,Medium,NON-TRAP
T2D_V186,186,Stage 3a (45-59),Yes,Yes,Yes,Overweight (23-27),6.5-7.5%,Medium,NON-TRAP
T2D_V187,187,Stage 3a (45-59),Yes,Yes,Yes,Overweight (23-27),7.5-9.0%,Medium,NON-TRAP
T2D_V188,188,Stage 3a (45-59),Yes,Yes,Yes,Overweight (23-27),9.0-11.0%,Medium,NON-TRAP
T2D_V189,189,Stage 3a (45-59),Yes,Yes,Yes,Obese (>27),5.5-6.5%,Medium,NON-TRAP
T2D_V190,190,Stage 3a (45-59),Yes,Yes,Yes,Obese (>27),6.5-7.5%,Medium,TRAP
T2D_V191,191,Stage 3a (45-59),Yes,Yes,Yes,Obese (>27),7.5-9.0%,Medium,NON-TRAP
T2D_V192,192,Stage 3a (45-59),Yes,Yes,Yes,Obese (>27),9.0-11.0%,Medium,NON-TRAP
T2D_V193,193,Stage 3b (30-44),No,No,No,Normal (<23),5.5-6.5%,Medium,NON-TRAP
T2D_V194,194,Stage 3b (30-44),No,No,No,Normal (<23),6.5-7.5%,Medium,NON-TRAP
T2D_V195,195,Stage 3b (30-44),No,No,No,Normal (<23),7.5-9.0%,Medium,NON-TRAP
T2D_V196,196,Stage 3b (30-44),No,No,No,Normal (<23),9.0-11.0%,Medium,NON-TRAP
T2D_V197,197,Stage 3b (30-44),No,No,No,Overweight (23-27),5.5-6.5%,Medium,NON-TRAP
T2D_V198,198,Stage 3b (30-44),No,No,No,Overweight (23-27),6.5-7.5%,Medium,NON-TRAP
T2D_V199,199,Stage 3b (30-44),No,No,No,Overweight (23-27),7.5-9.0%,Medium,NON-TRAP
T2D_V200,200,Stage 3b (30-44),No,No,No,Overweight (23-27),9.0-11.0%,Medium,TRAP
T2D_V201,201,Stage 3b (30-44),No,No,No,Obese (>27),5.5-6.5%,Medium,NON-TRAP
T2D_V202,202,Stage 3b (30-44),No,No,No,Obese (>27),6.5-7.5%,Medium,NON-TRAP
T2D_V203,203,Stage 3b (30-44),No,No,No,Obese (>27),7.5-9.0%,Medium,NON-TRAP
T2D_V204,204,Stage 3b (30-44),No,No,No,Obese (>27),9.0-11.0%,Medium,NON-TRAP
T2D_V205,205,Stage 3b (30-44),No,No,Yes,Normal (<23),5.5-6.5%,Medium,NON-TRAP
T2D_V206,206,Stage 3b (30-44),No,No,Yes,Normal (<23),6.5-7.5%,Medium,NON-TRAP
T2D_V207,207,Stage 3b (30-44),No,No,Yes,Normal (<23),7.5-9.0%,Medium,NON-TRAP
T2D_V208,208,Stage 3b (30-44),No,No,Yes,Normal (<23),9.0-11.0%,Medium,NON-TRAP
T2D_V209,209,Stage 3b (30-44),No,No,Yes,Overweight (23-27),5.5-6.5%,Medium,NON-TRAP
T2D_V210,210,Stage 3b (30-44),No,No,Yes,Overweight (23-27),6.5-7.5%,Medium,TRAP
T2D_V211,211,Stage 3b (30-44),No,No,Yes,Overweight (23-27),7.5-9.0%,Medium,NON-TRAP
T2D_V212,212,Stage 3b (30-44),No,No,Yes,Overweight (23-27),9.0-11.0%,Medium,NON-TRAP
T2D_V213,213,Stage 3b (30-44),No,No,Yes,Obese (>27),5.5-6.5%,Medium,NON-TRAP
T2D_V214,214,Stage 3b (30-44),No,No,Yes,Obese (>27),6.5-7.5%,Medium,NON-TRAP
T2D_V215,215,Stage 3b (30-44),No,No,Yes,Obese (>27),7.5-9.0%,Medium,NON-TRAP
T2D_V216,216,Stage 3b (30-44),No,No,Yes,Obese (>27),9.0-11.0%,Medium,NON-TRAP
T2D_V217,217,Stage 3b (30-44),No,Yes,No,Normal (<23),5.5-6.5%,Medium,NON-TRAP
T2D_V218,218,Stage 3b (30-44),No,Yes,No,Normal (<23),6.5-7.5%,Medium,NON-TRAP
T2D_V219,219,Stage 3b (30-44),No,Yes,No,Normal (<23),7.5-9.0%,Medium,NON-TRAP
T2D_V220,220,Stage 3b (30-44),No,Yes,No,Normal (<23),9.0-11.0%,Medium,TRAP
T2D_V221,221,Stage 3b (30-44),No,Yes,No,Overweight (23-27),5.5-6.5%,Medium,NON-TRAP
T2D_V222,222,Stage 3b (30-44),No,Yes,No,Overweight (23-27),6.5-7.5%,Medium,NON-TRAP
T2D_V223,223,Stage 3b (30-44),No,Yes,No,Overweight (23-27),7.5-9.0%,Medium,NON-TRAP
T2D_V224,224,Stage 3b (30-44),No,Yes,No,Overweight (23-27),9.0-11.0%,Medium,NON-TRAP
T2D_V225,225,Stage 3b (30-44),No,Yes,No,Obese (>27),5.5-6.5%,Medium,NON-TRAP
T2D_V226,226,Stage 3b (30-44),No,Yes,No,Obese (>27),6.5-7.5%,Medium,NON-TRAP
T2D_V227,227,Stage 3b (30-44),No,Yes,No,Obese (>27),7.5-9.0%,Medium,NON-TRAP
T2D_V228,228,Stage 3b (30-44),No,Yes,No,Obese (>27),9.0-11.0%,Medium,NON-TRAP
T2D_V229,229,Stage 3b (30-44),No,Yes,Yes,Normal (<23),5.5-6.5%,Medium,NON-TRAP
T2D_V230,230,Stage 3b (30-44),No,Yes,Yes,Normal (<23),6.5-7.5%,Medium,TRAP
T2D_V231,231,Stage 3b (30-44),No,Yes,Yes,Normal (<23),7.5-9.0%,Medium,NON-TRAP
T2D_V232,232,Stage 3b (30-44),No,Yes,Yes,Normal (<23),9.0-11.0%,Medium,NON-TRAP
T2D_V233,233,Stage 3b (30-44),No,Yes,Yes,Overweight (23-27),5.5-6.5%,Medium,NON-TRAP
T2D_V234,234,Stage 3b (30-44),No,Yes,Yes,Overweight (23-27),6.5-7.5%,Medium,NON-TRAP
T2D_V235,235,Stage 3b (30-44),No,Yes,Yes,Overweight (23-27),7.5-9.0%,Medium,NON-TRAP
T2D_V236,236,Stage 3b (30-44),No,Yes,Yes,Overweight (23-27),9.0-11.0%,Medium,NON-TRAP
T2D_V237,237,Stage 3b (30-44),No,Yes,Yes,Obese (>27),5.5-6.5%,Medium,NON-TRAP
T2D_V238,238,Stage 3b (30-44),No,Yes,Yes,Obese (>27),6.5-7.5%,Medium,NON-TRAP
T2D_V239,239,Stage 3b (30-44),No,Yes,Yes,Obese (>27),7.5-9.0%,Medium,NON-TRAP
T2D_V240,240,Stage 3b (30-44),No,Yes,Yes,Obese (>27),9.0-11.0%,Medium,TRAP
T2D_V241,241,Stage 3b (30-44),Yes,No,No,Normal (<23),5.5-6.5%,Medium,NON-TRAP
