object_id,prompt_id,occasion_id,score
P09,T5,O4,27.1939
P09,T5,O5,25.8878
P09,T6,O1,28.8197
P09,T6,O2,29.2807
P09,T6,O3,31.4024
P09,T6,O4,27.9236
P09,T6,O5,26.1342
P09,T7,O1,26.6441
P09,T7,O2,26.1926
P09,T7,O3,26.5136
P09,T7,O4,27.5305
P09,T7,O5,26.5043
P09,T8,O1,27.9116
P09,T8,O2,26.7321
P09,T8,O3,28.0072
P09,T8,O4,26.492
P09,T8,O5,23.6628
P09,T9,O1,28.5444
P09,T9,O2,27.6352
P09,T9,O3,27.9686
P09,T9,O4,28.3608
P09,T9,O5,25.5898
P10,T1,O1,60.0743
P10,T1,O2,58.2226
P10,T1,O3,60.2479
P10,T1,O4,59.9351
P10,T1,O5,60.9561
P10,T2,O1,63.05
P10,T2,O2,59.3739
P10,T2,O3,63.9299
P10,T2,O4,61.2155
P10,T2,O5,58.5094
P10,T3,O1,63.6052
P10,T3,O2,60.4535
P10,T3,O3,64.8562
P10,T3,O4,61.939
P10,T3,O5,62.6061
P10,T4,O1,60.1501
P10,T4,O2,59.4311
P10,T4,O3,60.0512
P10,T4,O4,59.3333
P10,T4,O5,60.5678
P10,T5,O1,60.5532
P10,T5,O2,62.057
P10,T5,O3,60.6611
P10,T5,O4,60.2773
P10,T5,O5,59.8076
P10,T6,O1,65.8034
P10,T6,O2,64.3708
P10,T6,O3,65.3911
P10,T6,O4,63.3711
P10,T6,O5,64.5066
P10,T7,O1,64.7341
P10,T7,O2,63.3189
P10,T7,O3,62.1154
P10,T7,O4,63.6626
P10,T7,O5,61.5573
P10,T8,O1,64.3608
P10,T8,O2,62.8584
P10,T8,O3,63.4475
P10,T8,O4,60.138
P10,T8,O5,59.8165
P10,T9,O1,61.9049
P10,T9,O2,61.6767
P10,T9,O3,64.1194
P10,T9,O4,62.3227
P10,T9,O5,61.3715
P11,T1,O1,34.4167
P11,T1,O2,32.2668
P11,T1,O3,33.3836
P11,T1,O4,32.1963
P11,T1,O5,31.2367
P11,T2,O1,33.2273
P11,T2,O2,33.6648
P11,T2,O3,32.8787
P11,T2,O4,30.6736
P11,T2,O5,33.1029
P11,T3,O1,34.6522
P11,T3,O2,33.023
P11,T3,O3,36.6276
P11,T3,O4,32.2258
P11,T3,O5,33.2527
P11,T4,O1,33.3801
P11,T4,O2,33.6215
P11,T4,O3,31.9117
P11,T4,O4,33.7052
P11,T4,O5,32.1218
P11,T5,O1,35.6453
P11,T5,O2,33.0081
P11,T5,O3,35.8229
P11,T5,O4,34.3762
P11,T5,O5,31.6057
P11,T6,O1,37.0681
P11,T6,O2,34.5158
P11,T6,O3,35.7229
P11,T6,O4,36.2806
P11,T6,O5,32.9558
P11,T7,O1,33.9494
P11,T7,O2,34.4694
P11,T7,O3,36.4351
P11,T7,O4,33.8289
P11,T7,O5,34.1381
P11,T8,O1,35.1962
P11,T8,O2,32.1259
P11,T8,O3,33.3845
P11,T8,O4,31.9555
P11,T8,O5,33.4827
P11,T9,O1,37.5975
P11,T9,O2,35.4418
P11,T9,O3,36.6838
P11,T9,O4,36.0936
P11,T9,O5,34.9397
P12,T1,O1,51.5054
P12,T1,O2,46.7035
P12,T1,O3,47.6836
P12,T1,O4,49.0126
P12,T1,O5,46.8529
P12,T2,O1,48.736
P12,T2,O2,47.9922
P12,T2,O3,52.056
P12,T2,O4,50.6698
P12,T2,O5,46.9783
P12,T3,O1,51.2495
P12,T3,O2,49.1491
P12,T3,O3,50.3552
P12,T3,O4,51.9242
P12,T3,O5,51.2268
P12,T4,O1,49.661
P12,T4,O2,48.4976
P12,T4,O3,51.0287
P12,T4,O4,50.6711
P12,T4,O5,46.548
P12,T5,O1,50.512
P12,T5,O2,49.8785
P12,T5,O3,51.3903
P12,T5,O4,49.3894
P12,T5,O5,48.3538
P12,T6,O1,52.1639
P12,T6,O2,52.7181
P12,T6,O3,54.7406
P12,T6,O4,50.0729
P12,T6,O5,51.7123
P12,T7,O1,51.6612
P12,T7,O2,51.4715
P12,T7,O3,53.4286
P12,T7,O4,49.4385
P12,T7,O5,49.9948
P12,T8,O1,51.2142
P12,T8,O2,48.2315
P12,T8,O3,50.0964
P12,T8,O4,48.3136
P12,T8,O5,47.6485
P12,T9,O1,52.8102
P12,T9,O2,50.3475
P12,T9,O3,50.4445
P12,T9,O4,51.1155
P12,T9,O5,49.3195
