protocol,case_id,question_key,rater_config,Y_0_100
baseline,DEMO_CASE_002,Q2,cfg_04,24.1
baseline,DEMO_CASE_002,Q2,cfg_05,22.66
baseline,DEMO_CASE_002,Q2,cfg_06,4.15
baseline,DEMO_CASE_002,Q3,cfg_01,28.01
baseline,DEMO_CASE_002,Q3,cfg_02,22.9
baseline,DEMO_CASE_002,Q3,cfg_03,15.88
baseline,DEMO_CASE_002,Q3,cfg_04,22.58
baseline,DEMO_CASE_002,Q3,cfg_05,18.76
baseline,DEMO_CASE_002,Q3,cfg_06,12.39
baseline,DEMO_CASE_002,Q4,cfg_01,12.06
baseline,DEMO_CASE_002,Q4,cfg_02,4.7
baseline,DEMO_CASE_002,Q4,cfg_03,31.07
baseline,DEMO_CASE_002,Q4,cfg_04,8.98
baseline,DEMO_CASE_002,Q4,cfg_05,13.03
baseline,DEMO_CASE_002,Q4,cfg_06,24.32
baseline,DEMO_CASE_002,Q5,cfg_01,21.28
baseline,DEMO_CASE_002,Q5,cfg_02,18.0
baseline,DEMO_CASE_002,Q5,cfg_03,15.56
baseline,DEMO_CASE_002,Q5,cfg_04,19.33
baseline,DEMO_CASE_002,Q5,cfg_05,18.22
baseline,DEMO_CASE_002,Q5,cfg_06,6.02
baseline,DEMO_CASE_002,Q6,cfg_01,7.69
baseline,DEMO_CASE_002,Q6,cfg_02,24.66
baseline,DEMO_CASE_002,Q6,cfg_03,27.39
baseline,DEMO_CASE_002,Q6,cfg_04,25.86
baseline,DEMO_CASE_002,Q6,cfg_05,28.23
baseline,DEMO_CASE_002,Q6,cfg_06,6.52
baseline,DEMO_CASE_002,Q7,cfg_01,3.02
baseline,DEMO_CASE_002,Q7,cfg_02,8.64
baseline,DEMO_CASE_002,Q7,cfg_03,11.69
baseline,DEMO_CASE_002,Q7,cfg_04,30.08
baseline,DEMO_CASE_002,Q7,cfg_05,3.92
baseline,DEMO_CASE_002,Q7,cfg_06,7.14
baseline,DEMO_CASE_002,Q8,cfg_01,21.28
baseline,DEMO_CASE_002,Q8,cfg_02,25.82
baseline,DEMO_CASE_002,Q8,cfg_03,18.66
baseline,DEMO_CASE_002,Q8,cfg_04,25.6
baseline,DEMO_CASE_002,Q8,cfg_05,27.4
baseline,DEMO_CASE_002,Q8,cfg_06,16.5
baseline,DEMO_CASE_002,Q9,cfg_01,14.21
baseline,DEMO_CASE_002,Q9,cfg_02,0.0
baseline,DEMO_CASE_002,Q9,cfg_03,0.0
baseline,DEMO_CASE_002,Q9,cfg_04,11.65
baseline,DEMO_CASE_002,Q9,cfg_05,6.37
baseline,DEMO_CASE_002,Q9,cfg_06,4.13
baseline,DEMO_CASE_002,Q10,cfg_01,0.0
baseline,DEMO_CASE_002,Q10,cfg_02,4.04
baseline,DEMO_CASE_002,Q10,cfg_03,4.15
baseline,DEMO_CASE_002,Q10,cfg_04,12.53
baseline,DEMO_CASE_002,Q10,cfg_05,15.82
baseline,DEMO_CASE_002,Q10,cfg_06,0.46
baseline,DEMO_CASE_002,Q11,cfg_01,6.89
baseline,DEMO_CASE_002,Q11,cfg_02,0.0
baseline,DEMO_CASE_002,Q11,cfg_03,7.7
baseline,DEMO_CASE_002,Q11,cfg_04,0.0
baseline,DEMO_CASE_002,Q11,cfg_05,0.0
baseline,DEMO_CASE_002,Q11,cfg_06,0.0
baseline,DEMO_CASE_002,Q12,cfg_01,2.12
baseline,DEMO_CASE_002,Q12,cfg_02,5.44
baseline,DEMO_CASE_002,Q12,cfg_03,9.78
baseline,DEMO_CASE_002,Q12,cfg_04,15.42
baseline,DEMO_CASE_002,Q12,cfg_05,9.3
baseline,DEMO_CASE_002,Q12,cfg_06,0.0
baseline,DEMO_CASE_002,Q13,cfg_01,0.0
baseline,DEMO_CASE_002,Q13,cfg_02,0.0
baseline,DEMO_CASE_002,Q13,cfg_03,0.0
baseline,DEMO_CASE_002,Q13,cfg_04,11.1
baseline,DEMO_CASE_002,Q13,cfg_05,0.0
baseline,DEMO_CASE_002,Q13,cfg_06,0.0
baseline,DEMO_CASE_002,Q14,cfg_01,0.07
baseline,DEMO_CASE_002,Q14,cfg_02,6.82
baseline,DEMO_CASE_002,Q14,cfg_03,8.57
baseline,DEMO_CASE_002,Q14,cfg_04,0.0
baseline,DEMO_CASE_002,Q14,cfg_05,0.0
baseline,DEMO_CASE_002,Q14,cfg_06,3.04
baseline,DEMO_CASE_002,Q15,cfg_01,0.0
baseline,DEMO_CASE_002,Q15,cfg_02,0.0
baseline,DEMO_CASE_002,Q15,cfg_03,4.89
baseline,DEMO_CASE_002,Q15,cfg_04,0.0
baseline,DEMO_CASE_002,Q15,cfg_05,0.0
baseline,DEMO_CASE_002,Q15,cfg_06,0.0
baseline,DEMO_CASE_003,Q1,cfg_01,1.6
baseline,DEMO_CASE_003,Q1,cfg_02,2.3
baseline,DEMO_CASE_003,Q1,cfg_03,31.99
baseline,DEMO_CASE_003,Q1,cfg_04,21.93
baseline,DEMO_CASE_003,Q1,cfg_05,18.69
baseline,DEMO_CASE_003,Q1,cfg_06,14.18
baseline,DEMO_CASE_003,Q2,cfg_01,17.84
baseline,DEMO_CASE_003,Q2,cfg_02,1.17
baseline,DEMO_CASE_003,Q2,cfg_03,26.89
baseline,DEMO_CASE_003,Q2,cfg_04,23.54
baseline,DEMO_CASE_003,Q2,cfg_05,3.74
baseline,DEMO_CASE_003,Q2,cfg_06,24.33
baseline,DEMO_CASE_003,Q3,cfg_01,29.13
baseline,DEMO_CASE_003,Q3,cfg_02,10.74
baseline,DEMO_CASE_003,Q3,cfg_03,29.01
baseline,DEMO_CASE_003,Q3,cfg_04,15.73
baseline,DEMO_CASE_003,Q3,cfg_05,7.27
baseline,DEMO_CASE_003,Q3,cfg_06,32.14
baseline,DEMO_CASE_003,Q4,cfg_01,24.57
baseline,DEMO_CASE_003,Q4,cfg_02,5.75
baseline,DEMO_CASE_003,Q4,cfg_03,20.31
baseline,DEMO_CASE_003,Q4,cfg_04,2.99
baseline,DEMO_CASE_003,Q4,cfg_05,11.23
baseline,DEMO_CASE_003,Q4,cfg_06,7.0
baseline,DEMO_CASE_003,Q5,cfg_01,25.85
baseline,DEMO_CASE_003,Q5,cfg_02,1.0
baseline,DEMO_CASE_003,Q5,cfg_03,2.13
baseline,DEMO_CASE_003,Q5,cfg_04,32.44
baseline,DEMO_CASE_003,Q5,cfg_05,12.69
baseline,DEMO_CASE_003,Q5,cfg_06,29.21
baseline,DEMO_CASE_003,Q6,cfg_01,22.6
baseline,DEMO_CASE_003,Q6,cfg_02,16.88
baseline,DEMO_CASE_003,Q6,cfg_03,14.98
baseline,DEMO_CASE_003,Q6,cfg_04,22.63
baseline,DEMO_CASE_003,Q6,cfg_05,2.76
baseline,DEMO_CASE_003,Q6,cfg_06,21.72
baseline,DEMO_CASE_003,Q7,cfg_01,5.47
baseline,DEMO_CASE_003,Q7,cfg_02,28.78
baseline,DEMO_CASE_003,Q7,cfg_03,4.71
baseline,DEMO_CASE_003,Q7,cfg_04,29.52
baseline,DEMO_CASE_003,Q7,cfg_05,4.96
baseline,DEMO_CASE_003,Q7,cfg_06,9.65
baseline,DEMO_CASE_003,Q8,cfg_01,10.55
baseline,DEMO_CASE_003,Q8,cfg_02,22.2
baseline,DEMO_CASE_003,Q8,cfg_03,22.27
baseline,DEMO_CASE_003,Q8,cfg_04,14.89
baseline,DEMO_CASE_003,Q8,cfg_05,3.93
baseline,DEMO_CASE_003,Q8,cfg_06,23.8
baseline,DEMO_CASE_003,Q9,cfg_01,13.79
baseline,DEMO_CASE_003,Q9,cfg_02,4.61
baseline,DEMO_CASE_003,Q9,cfg_03,0.0
baseline,DEMO_CASE_003,Q9,cfg_04,7.07
baseline,DEMO_CASE_003,Q9,cfg_05,0.0
baseline,DEMO_CASE_003,Q9,cfg_06,12.27
baseline,DEMO_CASE_003,Q10,cfg_01,8.05
baseline,DEMO_CASE_003,Q10,cfg_02,0.35
baseline,DEMO_CASE_003,Q10,cfg_03,0.0
baseline,DEMO_CASE_003,Q10,cfg_04,0.0
baseline,DEMO_CASE_003,Q10,cfg_05,13.2
baseline,DEMO_CASE_003,Q10,cfg_06,5.28
baseline,DEMO_CASE_003,Q11,cfg_01,0.0
baseline,DEMO_CASE_003,Q11,cfg_02,0.0
baseline,DEMO_CASE_003,Q11,cfg_03,4.66
baseline,DEMO_CASE_003,Q11,cfg_04,3.21
baseline,DEMO_CASE_003,Q11,cfg_05,8.19
baseline,DEMO_CASE_003,Q11,cfg_06,0.0
baseline,DEMO_CASE_003,Q12,cfg_01,15.65
baseline,DEMO_CASE_003,Q12,cfg_02,0.0
baseline,DEMO_CASE_003,Q12,cfg_03,11.18
baseline,DEMO_CASE_003,Q12,cfg_04,0.0
baseline,DEMO_CASE_003,Q12,cfg_05,0.0
baseline,DEMO_CASE_003,Q12,cfg_06,10.67
baseline,DEMO_CASE_003,Q13,cfg_01,0.12
baseline,DEMO_CASE_003,Q13,cfg_02,0.0
baseline,DEMO_CASE_003,Q13,cfg_03,5.81
baseline,DEMO_CASE_003,Q13,cfg_04,0.0
baseline,DEMO_CASE_003,Q13,cfg_05,0.0
baseline,DEMO_CASE_003,Q13,cfg_06,0.0
baseline,DEMO_CASE_003,Q14,cfg_01,3.65
baseline,DEMO_CASE_003,Q14,cfg_02,13.28
baseline,DEMO_CASE_003,Q14,cfg_03,0.0
baseline,DEMO_CASE_003,Q14,cfg_04,0.0
baseline,DEMO_CASE_003,Q14,cfg_05,6.56
baseline,DEMO_CASE_003,Q14,cfg_06,0.0
baseline,DEMO_CASE_003,Q15,cfg_01,0.0
baseline,DEMO_CASE_003,Q15,cfg_02,3.8
baseline,DEMO_CASE_003,Q15,cfg_03,0.0
baseline,DEMO_CASE_003,Q15,cfg_04,16.35
baseline,DEMO_CASE_003,Q15,cfg_05,0.0
baseline,DEMO_CASE_003,Q15,cfg_06,0.0
baseline,DEMO_CASE_004,Q1,cfg_01,23.39
baseline,DEMO_CASE_004,Q1,cfg_02,28.5
baseline,DEMO_CASE_004,Q1,cfg_03,24.26
baseline,DEMO_CASE_004,Q1,cfg_04,2.5
baseline,DEMO_CASE_004,Q1,cfg_05,7.43
baseline,DEMO_CASE_004,Q1,cfg_06,27.49
baseline,DEMO_CASE_004,Q2,cfg_01,14.03
baseline,DEMO_CASE_004,Q2,cfg_02,14.24
baseline,DEMO_CASE_004,Q2,cfg_03,29.62
baseline,DEMO_CASE_004,Q2,cfg_04,30.95
baseline,DEMO_CASE_004,Q2,cfg_05,32.49
baseline,DEMO_CASE_004,Q2,cfg_06,9.37
baseline,DEMO_CASE_004,Q3,cfg_01,22.42
baseline,DEMO_CASE_004,Q3,cfg_02,13.41
baseline,DEMO_CASE_004,Q3,cfg_03,32.71
baseline,DEMO_CASE_004,Q3,cfg_04,30.1
baseline,DEMO_CASE_004,Q3,cfg_05,16.11
baseline,DEMO_CASE_004,Q3,cfg_06,30.73
baseline,DEMO_CASE_004,Q4,cfg_01,5.75
baseline,DEMO_CASE_004,Q4,cfg_02,29.32
baseline,DEMO_CASE_004,Q4,cfg_03,16.87
baseline,DEMO_CASE_004,Q4,cfg_04,14.42
baseline,DEMO_CASE_004,Q4,cfg_05,8.48
baseline,DEMO_CASE_004,Q4,cfg_06,14.18
baseline,DEMO_CASE_004,Q5,cfg_01,24.76
baseline,DEMO_CASE_004,Q5,cfg_02,4.44
baseline,DEMO_CASE_004,Q5,cfg_03,19.19
baseline,DEMO_CASE_004,Q5,cfg_04,22.39
baseline,DEMO_CASE_004,Q5,cfg_05,10.37
baseline,DEMO_CASE_004,Q5,cfg_06,28.58
baseline,DEMO_CASE_004,Q6,cfg_01,29.4
baseline,DEMO_CASE_004,Q6,cfg_02,19.95
baseline,DEMO_CASE_004,Q6,cfg_03,1.43
baseline,DEMO_CASE_004,Q6,cfg_04,17.06
baseline,DEMO_CASE_004,Q6,cfg_05,19.72
baseline,DEMO_CASE_004,Q6,cfg_06,27.85
baseline,DEMO_CASE_004,Q7,cfg_01,1.21
baseline,DEMO_CASE_004,Q7,cfg_02,6.74
baseline,DEMO_CASE_004,Q7,cfg_03,27.56
baseline,DEMO_CASE_004,Q7,cfg_04,2.75
baseline,DEMO_CASE_004,Q7,cfg_05,6.16
baseline,DEMO_CASE_004,Q7,cfg_06,31.63
baseline,DEMO_CASE_004,Q8,cfg_01,19.6
baseline,DEMO_CASE_004,Q8,cfg_02,9.53
baseline,DEMO_CASE_004,Q8,cfg_03,20.1
baseline,DEMO_CASE_004,Q8,cfg_04,14.25
baseline,DEMO_CASE_004,Q8,cfg_05,32.06
baseline,DEMO_CASE_004,Q8,cfg_06,16.85
baseline,DEMO_CASE_004,Q9,cfg_01,14.99
baseline,DEMO_CASE_004,Q9,cfg_02,17.02
baseline,DEMO_CASE_004,Q9,cfg_03,0.0
baseline,DEMO_CASE_004,Q9,cfg_04,6.64
baseline,DEMO_CASE_004,Q9,cfg_05,6.84
baseline,DEMO_CASE_004,Q9,cfg_06,0.0
baseline,DEMO_CASE_004,Q10,cfg_01,6.56
baseline,DEMO_CASE_004,Q10,cfg_02,0.0
baseline,DEMO_CASE_004,Q10,cfg_03,0.0
baseline,DEMO_CASE_004,Q10,cfg_04,0.0
baseline,DEMO_CASE_004,Q10,cfg_05,6.04
baseline,DEMO_CASE_004,Q10,cfg_06,3.5
baseline,DEMO_CASE_004,Q11,cfg_01,7.72
baseline,DEMO_CASE_004,Q11,cfg_02,2.51
baseline,DEMO_CASE_004,Q11,cfg_03,9.67
baseline,DEMO_CASE_004,Q11,cfg_04,0.0
baseline,DEMO_CASE_004,Q11,cfg_05,15.43
baseline,DEMO_CASE_004,Q11,cfg_06,0.0
baseline,DEMO_CASE_004,Q12,cfg_01,0.0
baseline,DEMO_CASE_004,Q12,cfg_02,1.95
baseline,DEMO_CASE_004,Q12,cfg_03,5.62
baseline,DEMO_CASE_004,Q12,cfg_04,0.0
baseline,DEMO_CASE_004,Q12,cfg_05,0.0
baseline,DEMO_CASE_004,Q12,cfg_06,0.0
baseline,DEMO_CASE_004,Q13,cfg_01,0.0
baseline,DEMO_CASE_004,Q13,cfg_02,0.0
baseline,DEMO_CASE_004,Q13,cfg_03,0.0
baseline,DEMO_CASE_004,Q13,cfg_04,11.8
baseline,DEMO_CASE_004,Q13,cfg_05,0.0
baseline,DEMO_CASE_004,Q13,cfg_06,0.0
baseline,DEMO_CASE_004,Q14,cfg_01,0.0
baseline,DEMO_CASE_004,Q14,cfg_02,0.0
baseline,DEMO_CASE_004,Q14,cfg_03,0.0
baseline,DEMO_CASE_004,Q14,cfg_04,3.99
baseline,DEMO_CASE_004,Q14,cfg_05,0.0
baseline,DEMO_CASE_004,Q14,cfg_06,5.25
baseline,DEMO_CASE_004,Q15,cfg_01,0.0
baseline,DEMO_CASE_004,Q15,cfg_02,0.0
baseline,DEMO_CASE_004,Q15,cfg_03,0.0
baseline,DEMO_CASE_004,Q15,cfg_04,3.77
baseline,DEMO_CASE_004,Q15,cfg_05,0.0
baseline,DEMO_CASE_004,Q15,cfg_06,0.0
baseline,DEMO_CASE_005,Q1,cfg_01,9.29
baseline,DEMO_CASE_005,Q1,cfg_02,30.04
baseline,DEMO_CASE_005,Q1,cfg_03,9.19
baseline,DEMO_CASE_005,Q1,cfg_04,15.16
baseline,DEMO_CASE_005,Q1,cfg_05,32.99
baseline,DEMO_CASE_005,Q1,cfg_06,32.82
baseline,DEMO_CASE_005,Q2,cfg_01,7.0
baseline,DEMO_CASE_005,Q2,cfg_02,14.55
baseline,DEMO_CASE_005,Q2,cfg_03,18.94
baseline,DEMO_CASE_005,Q2,cfg_04,10.58
baseline,DEMO_CASE_005,Q2,cfg_05,22.49
baseline,DEMO_CASE_005,Q2,cfg_06,18.32
baseline,DEMO_CASE_005,Q3,cfg_01,10.27
baseline,DEMO_CASE_005,Q3,cfg_02,12.02
baseline,DEMO_CASE_005,Q3,cfg_03,6.14
baseline,DEMO_CASE_005,Q3,cfg_04,29.0
baseline,DEMO_CASE_005,Q3,cfg_05,11.44
baseline,DEMO_CASE_005,Q3,cfg_06,9.42
baseline,DEMO_CASE_005,Q4,cfg_01,29.8
baseline,DEMO_CASE_005,Q4,cfg_02,2.41
baseline,DEMO_CASE_005,Q4,cfg_03,6.73
baseline,DEMO_CASE_005,Q4,cfg_04,14.82
baseline,DEMO_CASE_005,Q4,cfg_05,7.72
baseline,DEMO_CASE_005,Q4,cfg_06,18.46
baseline,DEMO_CASE_005,Q5,cfg_01,24.38
baseline,DEMO_CASE_005,Q5,cfg_02,28.69
baseline,DEMO_CASE_005,Q5,cfg_03,28.55
baseline,DEMO_CASE_005,Q5,cfg_04,10.56
baseline,DEMO_CASE_005,Q5,cfg_05,32.96
baseline,DEMO_CASE_005,Q5,cfg_06,30.93
baseline,DEMO_CASE_005,Q6,cfg_01,14.69
baseline,DEMO_CASE_005,Q6,cfg_02,18.03
baseline,DEMO_CASE_005,Q6,cfg_03,14.94
baseline,DEMO_CASE_005,Q6,cfg_04,27.4
baseline,DEMO_CASE_005,Q6,cfg_05,2.21
baseline,DEMO_CASE_005,Q6,cfg_06,13.43
baseline,DEMO_CASE_005,Q7,cfg_01,9.36
baseline,DEMO_CASE_005,Q7,cfg_02,20.03
baseline,DEMO_CASE_005,Q7,cfg_03,16.57
baseline,DEMO_CASE_005,Q7,cfg_04,18.22
baseline,DEMO_CASE_005,Q7,cfg_05,16.93
baseline,DEMO_CASE_005,Q7,cfg_06,10.07
baseline,DEMO_CASE_005,Q8,cfg_01,32.93
baseline,DEMO_CASE_005,Q8,cfg_02,10.41
baseline,DEMO_CASE_005,Q8,cfg_03,10.2
baseline,DEMO_CASE_005,Q8,cfg_04,22.45
baseline,DEMO_CASE_005,Q8,cfg_05,27.35
baseline,DEMO_CASE_005,Q8,cfg_06,23.24
baseline,DEMO_CASE_005,Q9,cfg_01,7.58
baseline,DEMO_CASE_005,Q9,cfg_02,1.2
baseline,DEMO_CASE_005,Q9,cfg_03,14.11
baseline,DEMO_CASE_005,Q9,cfg_04,0.0
baseline,DEMO_CASE_005,Q9,cfg_05,0.0
baseline,DEMO_CASE_005,Q9,cfg_06,0.0
baseline,DEMO_CASE_005,Q10,cfg_01,16.9
baseline,DEMO_CASE_005,Q10,cfg_02,0.0
baseline,DEMO_CASE_005,Q10,cfg_03,6.01
baseline,DEMO_CASE_005,Q10,cfg_04,7.67
baseline,DEMO_CASE_005,Q10,cfg_05,0.0
baseline,DEMO_CASE_005,Q10,cfg_06,0.0
baseline,DEMO_CASE_005,Q11,cfg_01,0.81
baseline,DEMO_CASE_005,Q11,cfg_02,3.88
baseline,DEMO_CASE_005,Q11,cfg_03,0.0
baseline,DEMO_CASE_005,Q11,cfg_04,0.0
baseline,DEMO_CASE_005,Q11,cfg_05,11.43
baseline,DEMO_CASE_005,Q11,cfg_06,0.0
baseline,DEMO_CASE_005,Q12,cfg_01,0.0
baseline,DEMO_CASE_005,Q12,cfg_02,6.12
baseline,DEMO_CASE_005,Q12,cfg_03,0.16
baseline,DEMO_CASE_005,Q12,cfg_04,0.0
baseline,DEMO_CASE_005,Q12,cfg_05,12.25
baseline,DEMO_CASE_005,Q12,cfg_06,11.23
baseline,DEMO_CASE_005,Q13,cfg_01,6.12
baseline,DEMO_CASE_005,Q13,cfg_02,0.0
baseline,DEMO_CASE_005,Q13,cfg_03,15.1
baseline,DEMO_CASE_005,Q13,cfg_04,16.26
baseline,DEMO_CASE_005,Q13,cfg_05,10.66
baseline,DEMO_CASE_005,Q13,cfg_06,0.0
baseline,DEMO_CASE_005,Q14,cfg_01,12.89
baseline,DEMO_CASE_005,Q14,cfg_02,0.0
baseline,DEMO_CASE_005,Q14,cfg_03,1.47
baseline,DEMO_CASE_005,Q14,cfg_04,0.0
baseline,DEMO_CASE_005,Q14,cfg_05,0.0
baseline,DEMO_CASE_005,Q14,cfg_06,10.99
baseline,DEMO_CASE_005,Q15,cfg_01,0.0
baseline,DEMO_CASE_005,Q15,cfg_02,0.0
baseline,DEMO_CASE_005,Q15,cfg_03,17.53
baseline,DEMO_CASE_005,Q15,cfg_04,0.0
baseline,DEMO_CASE_005,Q15,cfg_05,0.0
baseline,DEMO_CASE_005,Q15,cfg_06,1.36
baseline,DEMO_CASE_006,Q1,cfg_01,34.11
baseline,DEMO_CASE_006,Q1,cfg_02,15.25
baseline,DEMO_CASE_006,Q1,cfg_03,21.2
baseline,DEMO_CASE_006,Q1,cfg_04,5.45
baseline,DEMO_CASE_006,Q1,cfg_05,11.6
baseline,DEMO_CASE_006,Q1,cfg_06,30.81
baseline,DEMO_CASE_006,Q2,cfg_01,3.0
baseline,DEMO_CASE_006,Q2,cfg_02,5.01
baseline,DEMO_CASE_006,Q2,cfg_03,6.51
baseline,DEMO_CASE_006,Q2,cfg_04,21.16
baseline,DEMO_CASE_006,Q2,cfg_05,31.86
baseline,DEMO_CASE_006,Q2,cfg_06,21.0
baseline,DEMO_CASE_006,Q3,cfg_01,15.6
baseline,DEMO_CASE_006,Q3,cfg_02,3.79
baseline,DEMO_CASE_006,Q3,cfg_03,11.83
baseline,DEMO_CASE_006,Q3,cfg_04,8.18
baseline,DEMO_CASE_006,Q3,cfg_05,20.46
baseline,DEMO_CASE_006,Q3,cfg_06,15.23
baseline,DEMO_CASE_006,Q4,cfg_01,15.36
baseline,DEMO_CASE_006,Q4,cfg_02,23.23
baseline,DEMO_CASE_006,Q4,cfg_03,28.53
baseline,DEMO_CASE_006,Q4,cfg_04,25.07
baseline,DEMO_CASE_006,Q4,cfg_05,12.24
baseline,DEMO_CASE_006,Q4,cfg_06,21.53
baseline,DEMO_CASE_006,Q5,cfg_01,9.01
baseline,DEMO_CASE_006,Q5,cfg_02,21.89
baseline,DEMO_CASE_006,Q5,cfg_03,10.89
baseline,DEMO_CASE_006,Q5,cfg_04,29.72
baseline,DEMO_CASE_006,Q5,cfg_05,4.44
baseline,DEMO_CASE_006,Q5,cfg_06,22.07
baseline,DEMO_CASE_006,Q6,cfg_01,10.13
